id,name,description,image_url
0-1,snow white,snow white is in the middle and there are other animated shows ,assets/snow white.jpg
0-2,joy,the emotions from inside out are there and other people like moana,assets/joy.jpg
0-3,pixar,there is just lots of pixar characters,assets/pixar.jpg
0-4,up,the old guy from up is in the middle with other very well known characters,assets/up.jpg
0-5,mikey mouse,mickey mouse is in the middle and spiderman is there plus frozen ,assets/mickey mouse.jpg
tele-brown,Tele Brown,A classic Telecaster-style electric guitar in a warm brown finish,assets/tele-brown.png
tele-burnt-orange,Tele Burnt Orange,A Telecaster-style electric guitar in a deep burnt orange finish,assets/tele-burnt-orange.png
tele-dye,Tele Dye,A Telecaster-style electric guitar with a colorful dye finish,assets/tele-dye.png
tele-plank,Tele Plank,A Telecaster-style electric guitar with a natural wood plank finish,assets/tele-plank.jpg
tele-teal,Tele Teal,A cool Telecaster-style electric guitar in a smooth teal finish,assets/tele-teal.png
